CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,340782,ASTICA MAL - 750ML,7,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,346394,PIZZOLATO MOSCATO DOLCE - 750ML,3,Purchase order
2023,December,E & J GALLO WINERY,WINE,88532,BLACK BOX BRILLIANT CAB - 3L,10,Purchase order
2023,December,LANTERNA DISTRIBUTORS INC,WINE,367232,COLLET BRUT ART DECO PREMIER CRU - 750ML,2,Purchase order
2023,December,E & J GALLO WINERY,WINE,81190,BAREFOOT ON THE GO MOSCATO - 500ML,20,Purchase order
2023,December,THE WINE GROUP,WINE,388319,CHARLES SMITH VELVET DEVIL MER - 750ML,64,Purchase order
2023,December,AREL GROUP WINE & SPIRITS,WINE,56227,CANDONI CHIANTI - 750ML,2,Purchase order
2023,December,PERNOD RICARD USA LLC,LIQUOR,47421,BEEFEATER GIN 24 - 1L,1,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,66550,STELLA ARTOIS 6/4 16OZ CAN,126,Purchase order
2023,December,E & J GALLO WINERY,WINE,81806,STARBOROUGH NEW ZELAND S/BLC - 750ML,120,Purchase order
2023,December,ARTISANS & VINES LLC,WINE,436054,TORII MOR OREGON P/GRIG - 750ML,2,Purchase order
2023,December,MHW LTD,WINE,83813,CH LE CALVAIRE BORDEAUX SUPERIEUR - 750ML,98,Purchase order
2023,December,PUNTO VINO LLC,WINE,317814,LA CAPPUCCINA FILOS - 750ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,238894,CA'MONTINI P/GRIGIO - 750ML,11,Purchase order
2023,December,LABATT USA OPERATING CO LLC,BEER,88765,SEAGRAM PEACH BELLINI 6/4NR - 355ML,72,Purchase order
2023,December,WC BEVERAGE LLC,WINE,17607,MONTE PASCHOAL SPARKLING ROSE 750ML,2,Purchase order
2023,December,E & J GALLO WINERY,WINE,83967,DON MIGUEL GASCON RES MALBEC 6/CS - 750ML,30,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,23872,ROLLING ROCK 18PK NR - 12OZ,60,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,346838,BESO DEL SOL WHITE SANGRIA - 500ML,1,Purchase order
2023,December,JIM BEAM BRANDS CO,LIQUOR,17639,TRES GEN ANEJO LTO 750ML,8,Purchase order
2023,December,SANTA MARGHERITA USA INC,WINE,64505,MASI CAMPOFIORIN - 750ML,1,Purchase order
2023,December,BACKUP BEVERAGE,KEG,10071,GULDEN DRAAK TRIPEL 1/2 KEG,1,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,12569,GIFFARD BANANE DU BRESIL - 750ML,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,BEER,379193,TAKARA CHU HI JPOP GRAPEFRUIT 4/6 12OZ CAN,2,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,234028,BELLINI CIPRIANI - 750ML,7,Purchase order
2023,December,JIM BEAM BRANDS CO,LIQUOR,50131,HORNITOS CRISTALINO 750 ML,3,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,24082,SEAGRAM'S VODKA - EXTRA SMOOTH - 750ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,89063,OLE SMOKY TENN COOKIE DOUGH WHISKEY - 750ML,9,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,337320,LE CHARMEL PINOT NOIR - 750ML,3,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,377533,CASTELLO DI QUERCETO CHN CLASS RSV - 750ML,6,Purchase order
2023,December,ST KILLIAN IMPORTING CO INC,BEER,96270,CARLSBERG ELEPHANT 4/6 NR - 12OZ,63,Purchase order
2023,December,SALVETO IMPORTS LLC,WINE,378230,GOROS WHITE GARNACHA - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,336291,LE BRUN DE BRETAGNE CIDER EFF - 750ML,1,Purchase order
2023,December,SAGAMORE WHISKEY LLC,LIQUOR,10907,SAGAMORE RYE - 750ML,76,Purchase order
2023,December,SFB BUCK LLC,KEG,17541,NEW TRAIL GOOGLES 1/6 KEG,1,Purchase order
2023,December,ROYAL WINE CORP,WINE,245053,HAJDU P/SYR,1,Purchase order
2023,December,HRI LLC,BEER,41955,THE VEIL UNRAVEL ME DIPA 6/4PK - 16OZ CN,3,Purchase order
2023,December,BOLD ROCK PARTNERS LP,BEER,31111,BOLD ROCK IPA 4/6 NR,36,Purchase order
2023,December,BACKUP BEVERAGE,BEER,30251,XINGU GOLD 4/6 NR,1,Purchase order
2023,December,INTERBALT PRODUCTS CORP,BEER,298222,MYKHOLA HONEY LAGER 500ML BOTTLE,1,Purchase order
